,0
Company,Макпетрол Скопје
MAE,[11495.724446614584]
MSE,[160620802.32538414]
RMS,[12673.626250027422]
MAPE,[15.33944958378588]
R2,[0.23104379090565513]
statistics,"['slope: 0.3096018318386034', 'intercept: 55200.67895932377', 'r_value(correlation): 0.48067014771634736', 'r^2_value(determination): 0.2310437909056552', 'p_value: 0.01742650829671699', 'std_err: 0.1204192268215212', 'a_r2: 0.231', 'b_r2: 0.231', 'a_t: 2.571', 'b_t: 7.209', 'a_p_value: 0.017', 'b_p_value: 0.000', 'a_std_err: 0.120', 'b_std_err: 7656.972']"
analysis_df,"       names          coef           se  ...    adj_r2      CI[2.5%]     CI[97.5%]
0  Intercept  55200.678959  7656.972392  ...  0.196091  39321.090133  71080.267786
1         x1      0.309602     0.120419  ...  0.196091      0.059868      0.559336

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,1.2336218357086182
accuracy_model,0.0
original_open,"[69000 68500 73999 73500 71000 72500 73495 74110 75500 74000 78000 75010
 78000 75100 77900 77000 69101 72500 80000 75000]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[77900 77000 69101 72500 80000 75000]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[69392.64  66727.08  64546.43  61473.22  59559.426 57840.4  ]
df.describe,"                 max           min           open         close
count     198.000000     198.00000     198.000000     198.00000
mean    46609.505051   40549.40404   43301.348485   43645.00000
std     32587.516769   27483.62155   29958.697246   29966.60381
min     13000.000000   12000.00000   12000.000000   12000.00000
25%     22737.000000   20163.00000   21503.500000   22000.00000
50%     31170.500000   27516.50000   28999.500000   29201.00000
75%     69500.000000   61375.00000   63000.750000   64000.00000
max    178000.000000  152000.00000  173000.000000  172000.00000"
model_loss:,0.13771657645702362
accuracy:,0.25
val_loss:,0.06790926307439804
model.summary,"Model: ""sequential_130""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_260 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_261 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_131 (Dropout)       (None, 32)                0         
                                                                 
 dense_261 (Dense)           (None, 16)                528       
                                                                 
 dense_262 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
