МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2002 ДО 31.07.2002 ГОДИНА,,,,,,,,,
,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Prv pazar - Obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,69.6,65,69,65,265,35 961 792,864 426,6
  R.Makedonija - denacionalizacija 01,,69,65,67,65,11,3 688 238,89 532,3
Vkupno Oficijalen pazar,,,,,,276,39 650 030,953 958,
Neoficijalen pazar,,,,,,,,,
Tret pazar - Obi~ni akcii,,,,,,,,,
  Avtoprogres Tetovo,10 DEM,312,312,312,312,1,21 840,70,1
  Agromehanika Skopje,100 DEM,,,,"1 795,00",1,13 283 000,7 400,1
  Agroservis Skopje,2905 DEN,,,,"1 500,00",4,39 757 500,26 505,1
  Ading Skopje,"51,13 EMU","2 003,00","2 003,00","2 003,00","2 003,00",1,166 249,83,1
  Algreta Resen,100 DEM,"1 201,00","1 201,00","1 201,00","1 201,00",8,419 149,349,2
  Alkaloid Skopje,"25,56 EMU","1 250,00","1 130,00","1 140,00","1 200,00",49,6 111 073,5 038,11
  Alfa banka Skopje,120000 DEN,"30 000,00","30 000,00","30 000,00","30 000,00",1,90 000,3,1
  Angropromet-Tikve{anka Kavadarci,100 DEM,"3 200,00","3 200,00","3 200,00","3 200,00",1,371 200,116,1
  ATP Proleter Kriva Palanka,50 EMU,936,936,936,936,1,2 915 640,3 115,1
  Rudnici Bawani Skopje,25 EMU,620,620,620,620,1,36 580,59,1
  Blagoj \orev Veles,"25,56 EMU",220,220,220,220,9,1 307 460,5 943,9
  @ivin. farma Belimbegovo Skopje,10 DEM,47,47,47,47,2,47 799,1 017,1
  Beton Radovi{,500 DEM,"1 550,00","1 550,00","1 550,00","1 550,00",2,178 250,115,2
  Beton [tip,25 EMU,470,470,470,470,1,32 900,70,1
  BIM Sveti Nikole,200 DEM,"3 100,00","3 100,00","3 100,00","3 100,00",3,570 400,184,3
  Gevgelija Turist Gevgelija,10 DEM,156,156,156,156,5,50 700,325,1
  Gradinar Ohrid,100 DEM,310,310,310,310,1,489 490,1 579,1
  Granit Skopje,5 EMU,80,65,70,70,32,608 074,8 438,12
  Gradski Trgovski Centar Skopje,100 DEM,"1 800,00","1 500,00","1 500,00","1 700,00",5,427 500,265,4
  Evropa Skopje,"51,13 EMU","1 100,00","1 000,00","1 000,00","1 001,00",14,783 629,770,9
  EMO Ohrid,60 DEM,,,,365,1,9 895 150,27 110,1
  @ito Luks Skopje,100 DEM,600,580,590,580,16,763 660,1 283,7
  @ito Vardar Veles,50 EMU,800,800,800,800,1,62 400,78,1
  @ito Jug Kavadarci,100 DEM,"1 200,00",900,"1 200,00",900,2,140 100,125,1
  @ito Skopje Skopje,100 DEM,200,200,200,200,4,100 000,500,4
  Zlatara Rubin Skopje,1295 DEN,"1 600,00","1 600,00","1 600,00","1 600,00",1,78 400,49,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",450,450,450,450,3,123 750,275,1
  Inteks Skopje,100 DEM,"3 117,00","3 117,00","3 117,00","3 117,00",1,59 251 053,19 009,1
  Jaka tabak Radovi{,"51,13 EMU","1 116,00","1 100,00","1 116,00","1 100,00",13,1 595 265,1 443,2
  Karaorman Skopje,100 DEM,150,150,150,150,2,74 550,497,2
  Kvasara Bitola,"51,13 EMU","3 000,00","3 000,00","3 000,00","3 000,00",1,6 000,2,1
  Kiro Dandaro Bitola,10 DEM,214,214,,214,16,91 358 098,426 907,7
  Komercijalna banka Skopje,5000 DEN,"1 800,00","1 750,00","1 754,00","1 750,00",14,10 664 372,4 493,10
  Komuna Skopje,"25,56 EMU",190,190,190,190,1,12 540,66,1
  MZT Oprema za vozila Skopje,100 DEM,240,240,240,240,1,12 240,51,1
  Mako{ped Skopje,1000 DEN,500,370,,401,6,6 357 466,17 079,4
  Makpetrol Skopje,"511,29 EMU","8 800,00","8 521,00","8 550,00","8 700,00",47,4 615 104,535,16
  Makedonija staklo Bitola,200 DEM,"4 001,00","3 400,00","3 400,00","4 001,00",5,435 886,113,4
  Makedonija Turist Skopje,"25,56 EMU",950,860,900,950,7,720 250,800,4
  Ohridska banka Ohrid,2650 DEN,"2 120,00","2 120,00","2 120,00","2 120,00",1,1 975 840,932,1
  Pelagonija komerc Bitola,100 DEM,600,600,600,600,2,21 600,36,1
  Pekabesko Skopje,90 DEM,"1 550,00",479,"1 426,00",479,4,4 061 820,2 930,2
  Polet Kumanovo,100 DEM,153,153,153,153,10,155 601,1 017,3
