МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.05.2005 ДО 31.05.2005 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Pe~atnica 11 Oktomvri Prilep,50 EMU,1300,1300,1300,1300,2,4912700,3779,1
  Ading Skopje,"9,98 EMU",3267,2970,2970,3250,3,522505,165,3
  Alkaloid Skopje,"25,56 EMU",4999,3800,4253,4051,159,35300267,8536,16
  Automakedonija Skopje,"44,48 EMU",700,700,700,700,2,30800,44,1
  Beton Skopje,500 DEM,3613,2090,3613,2141,28,798740,306,12
  Granit Skopje,5 EMU,315,290,314,304,224,9776516,32189,16
  Evropa Skopje,100 DEM,1450,903,1327,993,15,353350,280,10
  EMO Ohrid,"30,68 EMU",418,418,418,418,3,259160,620,2
  @ito Bitola Bitola,"153,4 EMU",339,339,339,339,1,42036,124,1
  @ito Vardar Veles,"51,13 EMU",690,690,690,690,2,5087370,7373,2
  @ito Skopje Skopje,50 EMU,450,450,450,450,1,80550,179,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",438,356,438,356,3,36838,97,3
  Investbanka Skopje,2670 DEN,1859,1210,1210,1850,8,563000,362,6
  Interne{enal Hotels AD Skopje,1 EMU,600,600,600,600,1,3120000,5200,1
  Komercijalna banka Skopje,1000 DEN,2399,2000,2349,2100,187,45222723,20507,16
  Mlaz Bogdanci,35 EMU,490,490,490,490,1,2343670,4783,1
  Hoteli Metropol Ohrid,5 EMU,122,122,122,122,2,16592,136,1
