МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.05.2004 ДО 31.05.2004 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Ading Skopje,"51,13 EMU",2300,2300,2300,2300,2,349600,152,2
  Algreta Resen,100 DEM,1800,1800,1800,1800,6,246600,137,1
  Alkaloid Skopje,"25,56 EMU",2000,1800,2000,1951,45,3331911,1760,13
  Rudnici Bawani Skopje,25 EMU,620,620,620,620,3,163060,263,3
  Blagoj \orev Veles,"25,56 EMU",730,689,690,730,39,10520773,15249,7
  Granit Skopje,5 EMU,90,90,90,90,95,2167200,24080,13
  Metalec Bitola,"51,13 EMU",1600,1600,1600,1600,3,28800,18,2
  Evropa Skopje,"51,13 EMU",900,850,900,850,5,283960,324,4
  @ito Luks Skopje,100 DEM,432,430,432,430,12,450088,1044,7
  @ito Prilep Prilep,50 EMU,620,620,620,620,1,19840,32,1
  @ito Strumica Strumica,"51,13 EMU",1210,1210,1210,1210,3,1883970,1557,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",327,305,327,305,8,193795,612,5
  Investbanka Skopje,2670 DEN,1060,877,877,1060,4,137242,130,3
  Interne{enal Hotels AD Skopje,1 EMU,600,600,600,600,1,954000,1590,1
  Komercijalna banka Skopje,5000 DEN,3000,2610,2900,2777,26,5620225,1960,12
  Karpo{ Skopje,200 DEM,666,666,666,666,1,39960,60,1
  Makpetrol Skopje,"511,29 EMU",12500,12200,12312,12200,40,3391968,273,15
  Makedonija Turist Skopje,"25,56 EMU",990,970,990,990,9,516930,525,4
  Rade Kon~ar Skopje,25 EMU,300,270,270,300,3,33054,111,3
  Replek Skopje,"562,42 EMU",6425,5841,5841,6425,2,166466,26,2
  R@ Inter-Trans{ped Skopje,10 DEM,23,23,23,23,2,184552,8024,1
  R@ Uslugi Skopje,"5,11 EMU",61,50,50,61,13,7859199,157149,1
  Stopanska banka Bitola,3000 DEN,2500,2450,2500,2500,11,2704000,1100,5
  Sileks Kratovo,"43,77 EMU",65,65,65,65,1,16250,250,1
  Skopski Pazar Skopje,"51,13 EMU",2700,2700,2700,2700,1,21600,8,1
  Tetovska banka Tetovo,3000 DEN,1472,1325,1472,1325,2,102607,74,2
  Teteks Tetovo,"51,13 EMU",310,310,310,310,30,2794960,9016,6
  Tehnometal Vardar Skopje,"51,13 EMU",750,700,706,750,6,155996,216,5
  GD-Tikve{ Kavadarci,"51,13 EMU",200,200,200,200,1,758600,3793,1
  Vinarska vizba Tikve{ Kavadarci,"51,13 EMU",9300,9300,9300,3450,2,5652900,1530,2
  Toplifikacija Skopje,100 DEM,1329,1200,1300,1265,23,2264520,1799,9
  Fustelarko Borec Bitola,100 DEM,900,900,900,900,37,4915800,5462,9
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Investbanka Skopje,2670 DEN,740,740,740,740,1,740,1,1
  Komercijalna banka Skopje,1000 DEN,701,671,679,701,15,608779,885,9
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,72,71,71.5,71.5,353,31551629,719948,17
  R.Makedonija - denacionalizacija 01,,72,69,69,72,4,880245,20174,3
  R.Makedonija - denacionalizacija 02,1 EUR,71.9,68.2,69,71.9,29,12952714,305627,12
  R.Makedonija - denacionalizacija 03,1 EMU,63.9,60.9,63.9,61.7,526,65042357,1719148,17
Vkupno Oficijalen pazar,,,,,,1365,168966891,3004107,
Neoficijalen pazar,,,,,,,,,
Neoficijalen pazar - obi~ni akcii,,,,,,,,,
  29 Noemvri Skopje,460 DEM,1000,1000,1000,,1,9000,9,1
  9-ti Maj Negotino,100 DEM,2160,2160,2160,,1,10005120,4632,1
  Agropromet Struga,50 DEM,170,170,170,,2,491640,2892,1
  Agromehanika Skopje,50 EMU,,,,,1,12144000,4048,1
  Brailovo Prilep,11 EMU,,,,,1,327600,10920,1
  Vardar Gradsko,10 DEM,,,,,1,3109800,31098,1
  Veterinarno sto~arski centar Kumanovo,10 DEM,155,155,155,,1,155000,1000,1
  ZIK Gradi{te Kumanovo,100 DEM,,,,,1,775200,1292,1
  Gradski Trgovski Centar Skopje,100 DEM,1800,1800,1800,,2,190800,106,1
  Elmar [tip,192 DEM,30,30,30,,4,119610,3987,1
  Elenica Strumica,"51,13 EMU",1000,1000,1000,,1,1017000,1017,1
  Zlatara Rubin Skopje,1295 DEN,1550,1550,1550,,2,261950,169,2
