,0
Company,Гранит Скопје
MAE,[250.00882975260416]
MSE,[65678.22995503992]
RMS,[256.277642323789]
MAPE,[18.238846626286197]
R2,[0.51614141252284]
statistics,"['slope: 0.45569527221173367', 'intercept: 861.7118202558963', 'r_value(correlation): 0.7184298243550583', 'r^2_value(determination): 0.51614141252284', 'p_value: 0.008486569248590509', 'std_err: 0.1395241535534888', 'a_r2: 0.516', 'b_r2: 0.516', 'a_t: 3.266', 'b_t: 5.482', 'a_p_value: 0.008', 'b_p_value: 0.000', 'a_std_err: 0.140', 'b_std_err: 157.201']"
analysis_df,"       names        coef          se  ...    adj_r2    CI[2.5%]    CI[97.5%]
0  Intercept  861.711820  157.201457  ...  0.467756  511.445146  1211.978494
1         x1    0.455695    0.139524  ...  0.467756    0.144816     0.766574

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[3]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[1030 1031 1100 1200 1280 1073 1114 1250 1200 1229 1315 1310 1399 1320
 1390 1337 1200 1301 1405 1380]"
error_df['date'].values,"['2022-04-01T00:00:00.000000000' '2022-05-01T00:00:00.000000000'
 '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[1301 1405 1380]
predicted_future['date'],"0   2022-04-01
1   2022-05-01
2   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[1150.7203 1127.4374 1115.6904]
df.describe,"               max          min         open        close
count   198.000000   198.000000   198.000000   198.000000
mean    856.823232   747.151515   795.590909   803.277778
std     506.038916   408.604096   452.281705   454.819012
min     280.000000   259.000000   263.000000   270.000000
25%     498.500000   461.000000   477.750000   480.000000
50%     682.000000   596.000000   634.000000   630.000000
75%    1038.000000   908.750000   969.000000   975.000000
max    3000.000000  2456.000000  2717.000000  2706.000000"
model_loss:,0.16809652745723724
accuracy:,0.2537313401699066
val_loss:,0.06299030780792236
model.summary,"Model: ""sequential_128""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_256 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_257 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_129 (Dropout)       (None, 32)                0         
                                                                 
 dense_257 (Dense)           (None, 16)                528       
                                                                 
 dense_258 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
