,0
Company,Алкалоид Скопје
MAE,[1903.62109375]
MSE,[4962589.673391183]
RMS,[2227.6870681025157]
MAPE,[10.749849638434988]
R2,[0.3628135071442992]
statistics,"['slope: 0.1714872690939873', 'intercept: 14294.943079615401', 'r_value(correlation): 0.6023400261847948', 'r^2_value(determination): 0.3628135071442992', 'p_value: 0.038205189269334715', 'std_err: 0.0718659947499493', 'a_r2: 0.363', 'b_r2: 0.363', 'a_t: 2.386', 'b_t: 10.417', 'a_p_value: 0.038', 'b_p_value: 0.000', 'a_std_err: 0.072', 'b_std_err: 1372.329']"
analysis_df,"       names          coef           se  ...    adj_r2      CI[2.5%]     CI[97.5%]
0  Intercept  14294.943080  1372.328512  ...  0.299095  11237.204605  17352.681554
1         x1      0.171487     0.071866  ...  0.299095      0.011360      0.331615

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[3]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[12250 12311 13350 13810 14000 14450 15000 15797 15550 15801 16910 17200
 17551 17400 18499 18849 17201 17999 17800 17500]"
error_df['date'].values,"['2022-04-01T00:00:00.000000000' '2022-05-01T00:00:00.000000000'
 '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[17999 17800 17500]
predicted_future['date'],"0   2022-04-01
1   2022-05-01
2   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[19051.719 19215.451 19809.02 ]
df.describe,"                max           min          open         close
count    198.000000    198.000000    198.000000    198.000000
mean    7519.015152   6849.823232   7150.914141   7217.540404
std     4124.747966   3729.415067   3906.562612   3954.590278
min     3050.000000   2445.000000   3000.000000   2900.000000
25%     4500.000000   4250.000000   4352.500000   4367.750000
50%     5487.500000   5111.000000   5325.000000   5350.000000
75%     9163.750000   8256.000000   8612.500000   8919.250000
max    19400.000000  17800.000000  18849.000000  18550.000000"
model_loss:,0.06109511852264404
accuracy:,0.33582088351249695
val_loss:,0.15661700069904327
model.summary,"Model: ""sequential_127""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_254 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_255 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_128 (Dropout)       (None, 32)                0         
                                                                 
 dense_255 (Dense)           (None, 16)                528       
                                                                 
 dense_256 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
