,0
Company,Алкалоид Скопје
MAE,[1375.784423828125]
MSE,[3112955.507014831]
RMS,[1764.356967003795]
MAPE,[7.690477002709832]
R2,[0.2693460474763198]
statistics,"['slope: 0.21796570237893156', 'intercept: 13742.332147667228', 'r_value(correlation): 0.518985594671297', 'r^2_value(determination): 0.2693460474763198', 'p_value: 0.00935931104812502', 'std_err: 0.07653804879776434', 'a_r2: 0.269', 'b_r2: 0.269', 'a_t: 2.848', 'b_t: 9.631', 'a_p_value: 0.009', 'b_p_value: 0.000', 'a_std_err: 0.077', 'b_std_err: 1426.874']"
analysis_df,"       names          coef           se  ...    adj_r2      CI[2.5%]     CI[97.5%]
0  Intercept  13742.332148  1426.874007  ...  0.236135  10783.176573  16701.487723
1         x1      0.217966     0.076538  ...  0.236135      0.059236      0.376696

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,9.533102989196777
accuracy_model,3333.333432674408
original_open,"[12250 12311 13350 13810 14000 14450 15000 15797 15550 15801 16910 17200
 17551 17400 18499 18849 17201 17999 17800 17500]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[18499 18849 17201 17999 17800 17500]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[17536.71  17748.96  18072.053 18306.637 18665.912 19091.184]
df.describe,"                max           min          open         close
count    198.000000    198.000000    198.000000    198.000000
mean    7519.015152   6849.823232   7150.914141   7217.540404
std     4124.747966   3729.415067   3906.562612   3954.590278
min     3050.000000   2445.000000   3000.000000   2900.000000
25%     4500.000000   4250.000000   4352.500000   4367.750000
50%     5487.500000   5111.000000   5325.000000   5350.000000
75%     9163.750000   8256.000000   8612.500000   8919.250000
max    19400.000000  17800.000000  18849.000000  18550.000000"
model_loss:,0.08483759313821793
accuracy:,0.3030303120613098
val_loss:,0.16077637672424316
model.summary,"Model: ""sequential_63""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_126 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_127 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_64 (Dropout)        (None, 32)                0         
                                                                 
 dense_127 (Dense)           (None, 16)                528       
                                                                 
 dense_128 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
