,0
Company,Македонијатурист Скопје
MAE,[323.6510009765625]
MSE,[117896.11025895675]
RMS,[343.36003008352145]
MAPE,[6.948303920560604]
R2,[0.39019163139717117]
statistics,"['slope: 0.23086550924747418', 'intercept: 3662.1554016513774', 'r_value(correlation): 0.6246532089064869', 'r^2_value(determination): 0.39019163139717117', 'p_value: 0.02989424592642707', 'std_err: 0.09126762932767273', 'a_r2: 0.390', 'b_r2: 0.390', 'a_t: 2.530', 'b_t: 9.239', 'a_p_value: 0.030', 'b_p_value: 0.000', 'a_std_err: 0.091', 'b_std_err: 396.361']"
analysis_df,"       names         coef          se  ...    adj_r2     CI[2.5%]    CI[97.5%]
0  Intercept  3662.155402  396.360922  ...  0.329211  2779.008231  4545.302572
1         x1     0.230866    0.091268  ...  0.329211     0.027509     0.434222

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[3]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[3700 3900 4551 4498 4550 4161 4501 4630 4550 4475 4999 4700 4800 4700
 4810 4705 4600 4700 4701 4700]"
error_df['date'].values,"['2022-04-01T00:00:00.000000000' '2022-05-01T00:00:00.000000000'
 '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[4700 4701 4700]
predicted_future['date'],"0   2022-04-01
1   2022-05-01
2   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[4361.8193 4328.795  4260.9565]
df.describe,"                max          min         open        close
count    198.000000   198.000000   198.000000   198.000000
mean    4150.853535  3868.535354  4001.989899  4018.782828
std     1519.301731  1338.551792  1437.550324  1422.188561
min     2400.000000  2015.000000  2051.000000  2351.000000
25%     3050.250000  2852.500000  3000.000000  3000.000000
50%     3749.000000  3500.000000  3605.500000  3645.000000
75%     4800.000000  4500.000000  4700.000000  4659.000000
max    10400.000000  9100.000000  9749.000000  9600.000000"
model_loss:,0.17360542714595795
accuracy:,0.26119402050971985
val_loss:,0.08694707602262497
model.summary,"Model: ""sequential_80""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_160 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_161 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_81 (Dropout)        (None, 32)                0         
                                                                 
 dense_161 (Dense)           (None, 16)                528       
                                                                 
 dense_162 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
