,0
Company,Гранит Скопје
MAE,[306.7112274169922]
MSE,[97151.07999774534]
RMS,[311.69067999820805]
MAPE,[22.357511382792573]
R2,[0.47341392401848803]
statistics,"['slope: 0.4590669888443273', 'intercept: 883.9528014411012', 'r_value(correlation): 0.6880508149973286', 'r^2_value(determination): 0.47341392401848803', 'p_value: 0.013380778114735491', 'std_err: 0.15310530399654737', 'a_r2: 0.473', 'b_r2: 0.473', 'a_t: 2.998', 'b_t: 5.397', 'a_p_value: 0.013', 'b_p_value: 0.000', 'a_std_err: 0.153', 'b_std_err: 163.801']"
analysis_df,"       names        coef          se  ...    adj_r2    CI[2.5%]    CI[97.5%]
0  Intercept  883.952801  163.800669  ...  0.420755  518.982166  1248.923437
1         x1    0.459067    0.153105  ...  0.420755    0.117927     0.800207

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[3]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[1030 1031 1100 1200 1280 1073 1114 1250 1200 1229 1315 1310 1399 1320
 1390 1337 1200 1301 1405 1380]"
error_df['date'].values,"['2022-04-01T00:00:00.000000000' '2022-05-01T00:00:00.000000000'
 '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[1301 1405 1380]
predicted_future['date'],"0   2022-04-01
1   2022-05-01
2   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[1117.0444 1079.3936 1052.3353]
df.describe,"               max          min         open        close
count   198.000000   198.000000   198.000000   198.000000
mean    856.823232   747.151515   795.590909   803.277778
std     506.038916   408.604096   452.281705   454.819012
min     280.000000   259.000000   263.000000   270.000000
25%     498.500000   461.000000   477.750000   480.000000
50%     682.000000   596.000000   634.000000   630.000000
75%    1038.000000   908.750000   969.000000   975.000000
max    3000.000000  2456.000000  2717.000000  2706.000000"
model_loss:,0.19634784758090973
accuracy:,0.2014925330877304
val_loss:,0.07896126061677933
model.summary,"Model: ""sequential_66""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_132 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_133 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_67 (Dropout)        (None, 32)                0         
                                                                 
 dense_133 (Dense)           (None, 16)                528       
                                                                 
 dense_134 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
