,0
Company,Алкалоид Скопје
MAE,[860.291259765625]
MSE,[1206604.4840705395]
RMS,[1098.4554993583215]
MAPE,[4.965948994213714]
R2,[0.480985987342556]
statistics,"['slope: 0.2845151372359071', 'intercept: 12637.661886050008', 'r_value(correlation): 0.6935315330556756', 'r^2_value(determination): 0.48098598734255565', 'p_value: 0.012373051583110346', 'std_err: 0.09346063059887291', 'a_r2: 0.481', 'b_r2: 0.481', 'a_t: 3.044', 'b_t: 7.804', 'a_p_value: 0.012', 'b_p_value: 0.000', 'a_std_err: 0.093', 'b_std_err: 1619.402']"
analysis_df,"       names          coef           se  ...    adj_r2     CI[2.5%]     CI[97.5%]
0  Intercept  12637.661886  1619.402376  ...  0.429085  9029.408534  16245.915238
1         x1      0.284515     0.093461  ...  0.429085     0.076272      0.492758

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[3]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[12250 12311 13350 13810 14000 14450 15000 15797 15550 15801 16910 17200
 17551 17400 18499 18849 17201 17999 17800 17500]"
error_df['date'].values,"['2022-04-01T00:00:00.000000000' '2022-05-01T00:00:00.000000000'
 '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[17999 17800 17500]
predicted_future['date'],"0   2022-04-01
1   2022-05-01
2   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[17746.072 17392.014 17187.615]
df.describe,"                max           min          open         close
count    198.000000    198.000000    198.000000    198.000000
mean    7519.015152   6849.823232   7150.914141   7217.540404
std     4124.747966   3729.415067   3906.562612   3954.590278
min     3050.000000   2445.000000   3000.000000   2900.000000
25%     4500.000000   4250.000000   4352.500000   4367.750000
50%     5487.500000   5111.000000   5325.000000   5350.000000
75%     9163.750000   8256.000000   8612.500000   8919.250000
max    19400.000000  17800.000000  18849.000000  18550.000000"
model_loss:,0.07217694818973541
accuracy:,0.2761194109916687
val_loss:,0.1802859753370285
model.summary,"Model: ""sequential_61""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_122 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_123 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_62 (Dropout)        (None, 32)                0         
                                                                 
 dense_123 (Dense)           (None, 16)                528       
                                                                 
 dense_124 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
