,0
Company,Македонијатурист Скопје
MAE,[333.7191162109375]
MSE,[118601.21704012156]
RMS,[344.38527413366785]
MAPE,[7.181679849192949]
R2,[0.5437247792354617]
statistics,"['slope: 0.36112135691085195', 'intercept: 3092.9758468758314', 'r_value(correlation): 0.7373769587093575', 'r^2_value(determination): 0.5437247792354615', 'p_value: 0.03683249132627314', 'std_err: 0.13505212670835634']"
n_future,[1]
n_past,[3]
n_months_future,[2]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[3700 3900 4551 4498 4550 4161 4501 4630 4550 4475 4999 4700 4800 4700
 4810 4705 4600 4700 4701 4700]"
error_df['date'].values,['2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']
error_df['open'].values,[4701 4700]
predicted_future['date'],"0   2022-05-01
1   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[4369.579 4281.825]
df.describe,"                max          min         open        close
count    198.000000   198.000000   198.000000   198.000000
mean    4150.853535  3868.535354  4001.989899  4018.782828
std     1519.301731  1338.551792  1437.550324  1422.188561
min     2400.000000  2015.000000  2051.000000  2351.000000
25%     3050.250000  2852.500000  3000.000000  3000.000000
50%     3749.000000  3500.000000  3605.500000  3645.000000
75%     4800.000000  4500.000000  4700.000000  4659.000000
max    10400.000000  9100.000000  9749.000000  9600.000000"
model_loss:,0.16392743587493896
accuracy:,0.27407407760620117
val_loss:,0.09787092357873917
model.summary,"Model: ""sequential_48""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_96 (LSTM)              (None, 3, 128)            68096     
                                                                 
 lstm_97 (LSTM)              (None, 32)                20608     
                                                                 
 dropout_48 (Dropout)        (None, 32)                0         
                                                                 
 dense_96 (Dense)            (None, 16)                528       
                                                                 
 dense_97 (Dense)            (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
