,0
Company,Макпетрол Скопје
MAE,[9904.495768229166]
MSE,[110597864.53781001]
RMS,[10516.551931969432]
MAPE,[13.12001434918328]
R2,[0.43776933489818365]
statistics,"['slope: 0.5009791370275402', 'intercept: 42638.02089708109', 'r_value(correlation): 0.6616413944866083', 'r^2_value(determination): 0.43776933489818365', 'p_value: 0.019106878608125953', 'std_err: 0.17953711268545072', 'a_r2: 0.438', 'b_r2: 0.438', 'a_t: 2.790', 'b_t: 3.611', 'a_p_value: 0.019', 'b_p_value: 0.005', 'a_std_err: 0.180', 'b_std_err: 11806.727']"
analysis_df,"       names          coef            se  ...    adj_r2      CI[2.5%]     CI[97.5%]
0  Intercept  42638.020897  11806.726711  ...  0.381546  16330.994398  68945.047396
1         x1      0.500979      0.179537  ...  0.381546      0.100946      0.901013

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[3]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[69000 68500 73999 73500 71000 72500 73495 74110 75500 74000 78000 75010
 78000 75100 77900 77000 69101 72500 80000 75000]"
error_df['date'].values,"['2022-04-01T00:00:00.000000000' '2022-05-01T00:00:00.000000000'
 '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[72500 80000 75000]
predicted_future['date'],"0   2022-04-01
1   2022-05-01
2   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[67991.25 65621.61 64243.7 ]
df.describe,"                 max           min           open         close
count     198.000000     198.00000     198.000000     198.00000
mean    46609.505051   40549.40404   43301.348485   43645.00000
std     32587.516769   27483.62155   29958.697246   29966.60381
min     13000.000000   12000.00000   12000.000000   12000.00000
25%     22737.000000   20163.00000   21503.500000   22000.00000
50%     31170.500000   27516.50000   28999.500000   29201.00000
75%     69500.000000   61375.00000   63000.750000   64000.00000
max    178000.000000  152000.00000  173000.000000  172000.00000"
model_loss:,0.1733340322971344
accuracy:,0.2238806039094925
val_loss:,0.06193370744585991
model.summary,"Model: ""sequential_74""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_148 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_149 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_75 (Dropout)        (None, 32)                0         
                                                                 
 dense_149 (Dense)           (None, 16)                528       
                                                                 
 dense_150 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
