,0
Company,Макпетрол Скопје
MAE,[13638.693196614584]
MSE,[218289165.9814218]
RMS,[14774.612210864345]
MAPE,[18.21380035838597]
R2,[0.21099394629939341]
statistics,"['slope: 0.2807168413235388', 'intercept: 57630.78135201249', 'r_value(correlation): 0.45934077360865044', 'r^2_value(determination): 0.21099394629939347', 'p_value: 0.023942277535145867', 'std_err: 0.11573435570425963', 'a_r2: 0.211', 'b_r2: 0.211', 'a_t: 2.426', 'b_t: 8.099', 'a_p_value: 0.024', 'b_p_value: 0.000', 'a_std_err: 0.116', 'b_std_err: 7115.936']"
analysis_df,"       names          coef           se  ...   adj_r2      CI[2.5%]     CI[97.5%]
0  Intercept  57630.781352  7115.936372  ...  0.17513  42873.232558  72388.330146
1         x1      0.280717     0.115734  ...  0.17513      0.040698      0.520735

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,1.2277731895446777
accuracy_model,0.0
original_open,"[69000 68500 73999 73500 71000 72500 73495 74110 75500 74000 78000 75010
 78000 75100 77900 77000 69101 72500 80000 75000]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[77900 77000 69101 72500 80000 75000]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[70023.48  66959.336 64543.02  60654.023 58754.633 57087.19 ]
df.describe,"                 max           min           open         close
count     198.000000     198.00000     198.000000     198.00000
mean    46609.505051   40549.40404   43301.348485   43645.00000
std     32587.516769   27483.62155   29958.697246   29966.60381
min     13000.000000   12000.00000   12000.000000   12000.00000
25%     22737.000000   20163.00000   21503.500000   22000.00000
50%     31170.500000   27516.50000   28999.500000   29201.00000
75%     69500.000000   61375.00000   63000.750000   64000.00000
max    178000.000000  152000.00000  173000.000000  172000.00000"
model_loss:,0.2019651234149933
accuracy:,0.2348484843969345
val_loss:,0.07509183883666992
model.summary,"Model: ""sequential_77""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_154 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_155 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_78 (Dropout)        (None, 32)                0         
                                                                 
 dense_155 (Dense)           (None, 16)                528       
                                                                 
 dense_156 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
